1,8;0;1
0,2;0;1
1,3,10;0,1;0
2,4;1;6
3,5,12;1,2;6
4,6;2;0
5,14;2;0
8,17;3;4
0,7,9;0,3;0
8,10,19;0,3,4;0
2,9,11;0,1,4;0
10,12,21;1,4,5;0
4,11,13;1,2,5;0
12,14,23;2,5,6;0
6,13,15;2,6;1
14,25;6;1
17,27;7;0
7,16,18;3,7;4
17,19,29;3,7,8;0
9,18,20;3,7,8;0
19,21,31;4,8,9;0
11,20,22;4,5,9;0
21,23,33;5,9,10;0
13,22,24;5,6,10;0
23,25,35;6,10,11;0
15,24,26;6,11;0
25,37;11;1
16,28;7;0
27,29,38;7,12;5
18,28,30;7,8,12;0
29,31,40;8,12,13;0
20,30,32;8,9,13;0
31,33,42;9,13,14;0
22,32,34;9,10,14;0
33,35,44;10,14,15;0
24,34,36;10,11,15;0
35,37,46;11,15;0
26,36;11;1
28,39;12;5
38,40,47;12,16;0
30,39,41;12,13,16;0
40,42,49;13,16,17;0
32,41,43;13,14,17;0
42,44,51;14,17,18;0
34,43,45;14,15,18;0
44,46,53;15,18;2
36,45;15;2
39,48;16;1
47,49;16;1
41,48,50;16,17;0
49,51;17;3
43,50,52;17,18;3
51,53;18;0
45,52;18;0


Key/Definition: adjacentNodes;adjacentLand;PortId
